Code 1,Code Description Text,Full Description text,length
C945,ACUTE MYELOFIBROSIS,ACUTE MYELOFIBROSIS,4
C946,MYELODYSPLASTIC AND MYELOPROLIFERATIVE DISEASE NOT ELSEWHERE CLASSIFIED,MYELODYSPLASTIC AND MYELOPROLIFERATIVE DISEASE NOT ELSEWHERE CLASSIFIED,4
C947,OTHER SPECIFIED LEUKAEMIAS,OTHER SPECIFIED LEUKAEMIAS,4
C95,LEUKAEMIA OF UNSPECIFIED CELL TYPE,LEUKAEMIA OF UNSPECIFIED CELL TYPE,3
C950,ACUTE LEUKAEMIA OF UNSPECIFIED CELL TYPE,ACUTE LEUKAEMIA OF UNSPECIFIED CELL TYPE,4
C951,CHRONIC LEUKAEMIA OF UNSPECIFIED CELL TYPE,CHRONIC LEUKAEMIA OF UNSPECIFIED CELL TYPE,4
C952,SUBACUTE LEUKAEMIA OF UNSPECIFIED CELL TYPE,SUBACUTE LEUKAEMIA OF UNSPECIFIED CELL TYPE,4
C957,OTHER LEUKAEMIA OF UNSPECIFIED CELL TYPE,OTHER LEUKAEMIA OF UNSPECIFIED CELL TYPE,4
C959,"LEUKAEMIA, UNSPECIFIED","LEUKAEMIA, UNSPECIFIED",4
C96,"OTHER/UNSPEC MALIG NEOPLASMS OF LYMPHOID, HAEMATOPOIETIC & RELATED TISSUE","OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS OF LYMPHOID, HAEMATOPOIETIC AND RELATED TISSUE",3
C960,M.FOCAL & M.SYSTEMIC(DISS) LANGERHANS-CELL HISTIOCYTOSIS [LETTERER-SIWE],M.FOCAL & M.SYSTEMIC(DISS) LANGERHANS-CELL HISTIOCYTOSIS [LETTERER-SIWE],4
C961,MALIGNANT HISTIOCYTOSIS,MALIGNANT HISTIOCYTOSIS,4
C962,MALIGNANT MAST CELL TUMOUR,MALIGNANT MAST CELL TUMOUR,4
C963,TRUE HISTIOCYTIC LYMPHOMA,TRUE HISTIOCYTIC LYMPHOMA,4
C964,SARCOMA OF DENDRITIC CELLS (ACCESSORY CELLS),SARCOMA OF DENDRITIC CELLS (ACCESSORY CELLS),4
C965,MULTIFOCAL AND UNISYSTEMIC LANGERHANS-CELL HISTIOCYTOSIS,MULTIFOCAL AND UNISYSTEMIC LANGERHANS-CELL HISTIOCYTOSIS,4
C966,UNIFOCAL LANGERHANS-CELL HISTIOCYTOSIS,UNIFOCAL LANGERHANS-CELL HISTIOCYTOSIS,4
C967,OTHER SPECMALI GNANT NEOPLASM OF LYMPHOID/HAEMATOPOIETIC/RELATED TISSUE,OTHER SPECMALI GNANT NEOPLASM OF LYMPHOID/HAEMATOPOIETIC/RELATED TISSUE,4
C968,HISTIOCYTIC SARCOMA,HISTIOCYTIC SARCOMA,4
C969,"MALIGNANT NEOPLASM OF LYMPHOID, HAEMATOPOIETIC/RELATED TISSUE, UNSPECIFIED","MALIGNANT NEOPLASM OF LYMPHOID, HAEMATOPOIETIC/RELATED TISSUE, UNSPECIFIED",4
C97,MALIGNANT NEOPLASMS OF INDEPENDENT (PRIMARY) MULTIPLE SITES,MALIGNANT NEOPLASMS OF INDEPENDENT (PRIMARY) MULTIPLE SITES,3
C97X,MALIGNANT NEOPLASM OF INDEPENDENT (PRIMARY) MULTIPLE SITES,MALIGNANT NEOPLASM OF INDEPENDENT (PRIMARY) MULTIPLE SITES,4
D00,"CARCINOMA IN SITU OF ORAL CAVITY, OESOPHAGUS AND STOMACH","CARCINOMA IN SITU OF ORAL CAVITY, OESOPHAGUS AND STOMACH",3
D000,"CARCINOMA IN SITU,  LIP, ORAL CAVITY AND PHARYNX","CARCINOMA IN SITU,  LIP, ORAL CAVITY AND PHARYNX",4
D001,"CARCINOMA IN SITU,  OESOPHAGUS","CARCINOMA IN SITU,  OESOPHAGUS",4
D002,"CARCINOMA IN SITU,  STOMACH","CARCINOMA IN SITU,  STOMACH",4
D01,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED DIGESTIVE ORGANS,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED DIGESTIVE ORGANS,3
D010,"CARCINOMA IN SITU, COLON","CARCINOMA IN SITU, COLON",4
D011,"CARCINOMA IN SITU, RECTOSIGMOID JUNCTION","CARCINOMA IN SITU, RECTOSIGMOID JUNCTION",4
D012,"CARCINOMA IN SITU, RECTUM","CARCINOMA IN SITU, RECTUM",4
D013,"CARCINOMA IN SITU, ANUS AND ANAL CANAL","CARCINOMA IN SITU, ANUS AND ANAL CANAL",4
D014,"CARCINOMA IN SITU, OTHER AND UNSPECIFIED PARTS OF INTESTINE","CARCINOMA IN SITU, OTHER AND UNSPECIFIED PARTS OF INTESTINE",4
D015,"CARCINOMA IN SITU, LIVER, GALLBLADDER AND BILE DUCTS","CARCINOMA IN SITU, LIVER, GALLBLADDER AND BILE DUCTS",4
D017,"CARCINOMA IN SITU, OTHER SPECIFIED DIGESTIVE ORGANS","CARCINOMA IN SITU, OTHER SPECIFIED DIGESTIVE ORGANS",4
D019,"CARCINOMA IN SITU, DIGESTIVE ORGAN, UNSPECIFIED","CARCINOMA IN SITU, DIGESTIVE ORGAN, UNSPECIFIED",4
D02,CARCINOMA IN SITU OF MIDDLE EAR AND RESPIRATORY SYSTEM,CARCINOMA IN SITU OF MIDDLE EAR AND RESPIRATORY SYSTEM,3
D020,"CARCINOMA IN SITU, LARYNX","CARCINOMA IN SITU, LARYNX",4
D021,"CARCINOMA IN SITU, TRACHEA","CARCINOMA IN SITU, TRACHEA",4
D022,"CARCINOMA IN SITU, BRONCHUS AND LUNG","CARCINOMA IN SITU, BRONCHUS AND LUNG",4
D023,"CARCINOMA IN SITU, OTHER PARTS OF RESPIRATORY SYSTEM","CARCINOMA IN SITU, OTHER PARTS OF RESPIRATORY SYSTEM",4
D024,"CARCINOMA IN SITU, RESPIRATORY SYSTEM, UNSPECIFIED","CARCINOMA IN SITU, RESPIRATORY SYSTEM, UNSPECIFIED",4
D03,MELANOMA IN SITU,MELANOMA IN SITU,3
D030,MELANOMA IN SITU OF LIP,MELANOMA IN SITU OF LIP,4
D031,"MELANOMA IN SITU OF EYELID, INCLUDING CANTHUS","MELANOMA IN SITU OF EYELID, INCLUDING CANTHUS",4
D032,MELANOMA IN SITU OF EAR AND EXTERNAL AURICULAR CANAL,MELANOMA IN SITU OF EAR AND EXTERNAL AURICULAR CANAL,4
D033,MELANOMA IN SITU OF OTHER AND UNSPECIFIED PARTS OF FACE,MELANOMA IN SITU OF OTHER AND UNSPECIFIED PARTS OF FACE,4
D034,MELANOMA IN SITU OF SCALP AND NECK,MELANOMA IN SITU OF SCALP AND NECK,4
D035,MELANOMA IN SITU OF TRUNK,MELANOMA IN SITU OF TRUNK,4
D036,"MELANOMA IN SITU OF UPPER LIMB, INCLUDING SHOULDER","MELANOMA IN SITU OF UPPER LIMB, INCLUDING SHOULDER",4
D037,"MELANOMA IN SITU OF LOWER LIMB, INCLUDING HIP","MELANOMA IN SITU OF LOWER LIMB, INCLUDING HIP",4
D038,MELANOMA IN SITU OF OTHER SITES,MELANOMA IN SITU OF OTHER SITES,4
D039,"MELANOMA IN SITU, UNSPECIFIED","MELANOMA IN SITU, UNSPECIFIED",4
D04,CARCINOMA IN SITU OF SKIN,CARCINOMA IN SITU OF SKIN,3
D040,"CARCINOMA IN SITU, SKIN OF LIP","CARCINOMA IN SITU, SKIN OF LIP",4
D041,"CARCINOMA IN SITU, SKIN OF EYELID, INCLUDING CANTHUS","CARCINOMA IN SITU, SKIN OF EYELID, INCLUDING CANTHUS",4
D042,"CARCINOMA IN SITU, SKIN OF EAR AND EXTERNAL AURICULAR CANAL","CARCINOMA IN SITU, SKIN OF EAR AND EXTERNAL AURICULAR CANAL",4
D043,"CARCINOMA IN SITU, SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE","CARCINOMA IN SITU, SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE",4
D044,"CARCINOMA IN SITU, SKIN OF SCALP AND NECK","CARCINOMA IN SITU, SKIN OF SCALP AND NECK",4
D045,"CARCINOMA IN SITU, SKIN OF TRUNK","CARCINOMA IN SITU, SKIN OF TRUNK",4
D046,"CARCINOMA IN SITU, SKIN OF UPPER LIMB, INCLUDING SHOULDER","CARCINOMA IN SITU, SKIN OF UPPER LIMB, INCLUDING SHOULDER",4
D047,"CARCINOMA IN SITU, SKIN OF LOWER LIMB, INCLUDING HIP","CARCINOMA IN SITU, SKIN OF LOWER LIMB, INCLUDING HIP",4
D048,"CARCINOMA IN SITU, SKIN OF OTHER SITES","CARCINOMA IN SITU, SKIN OF OTHER SITES",4
D049,"CARCINOMA IN SITU, SKIN, UNSPECIFIED","CARCINOMA IN SITU, SKIN, UNSPECIFIED",4
D05,CARCINOMA IN SITU OF BREAST,CARCINOMA IN SITU OF BREAST,3
D050, LOBULAR CARCINOMA IN SITU OF BREAST, LOBULAR CARCINOMA IN SITU OF BREAST,4
D051, INTRADUCTAL CARCINOMA IN SITU OF BREAST, INTRADUCTAL CARCINOMA IN SITU OF BREAST,4
D057,OTHER CARCINOMA IN SITU OF BREAST,OTHER CARCINOMA IN SITU OF BREAST,4
D059,"CARCINOMA IN SITU OF BREAST, UNSPECIFIED","CARCINOMA IN SITU OF BREAST, UNSPECIFIED",4
D06,CARCINOMA IN SITU OF CERVIX UTERI,CARCINOMA IN SITU OF CERVIX UTERI,3
D060,"CARCINOMA IN SITU, ENDOCERVIX","CARCINOMA IN SITU, ENDOCERVIX",4
D061,"CARCINOMA IN SITU, EXOCERVIX","CARCINOMA IN SITU, EXOCERVIX",4
D067,"CARCINOMA IN SITU, OTHER PARTS OF CERVIX","CARCINOMA IN SITU, OTHER PARTS OF CERVIX",4
D069,"CARCINOMA IN SITU, CERVIX, UNSPECIFIED","CARCINOMA IN SITU, CERVIX, UNSPECIFIED",4
D07,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED GENITAL ORGANS,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED GENITAL ORGANS,3
D070,"CARCINOMA IN SITU, ENDOMETRIUM","CARCINOMA IN SITU, ENDOMETRIUM",4
D071,"CARCINOMA IN SITU, VULVA","CARCINOMA IN SITU, VULVA",4
D072,"CARCINOMA IN SITU, VAGINA","CARCINOMA IN SITU, VAGINA",4
D073,"CARCINOMA IN SITU, OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS","CARCINOMA IN SITU, OTHER AND UNSPECIFIED FEMALE GENITAL ORGANS",4
D074,"CARCINOMA IN SITU, PENIS","CARCINOMA IN SITU, PENIS",4
D075,"CARCINOMA IN SITU, PROSTATE","CARCINOMA IN SITU, PROSTATE",4
D076,"CARCINOMA IN SITU, OTHER AND UNSPECIFIED MALE GENITAL ORGANS","CARCINOMA IN SITU, OTHER AND UNSPECIFIED MALE GENITAL ORGANS",4
D09,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED SITES,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED SITES,3
D090,"CARCINOMA IN SITU, BLADDER","CARCINOMA IN SITU, BLADDER",4
D091,"CARCINOMA IN SITU, OTHER AND UNSPECIFIED URINARY ORGANS","CARCINOMA IN SITU, OTHER AND UNSPECIFIED URINARY ORGANS",4
D092,"CARCINOMA IN SITU, EYE","CARCINOMA IN SITU, EYE",4
D093,"CARCINOMA IN SITU, THYROID AND OTHER ENDOCRINE GLANDS","CARCINOMA IN SITU, THYROID AND OTHER ENDOCRINE GLANDS",4
D097,CARCINOMA IN SITU OF OTHER SPECIFIED SITES,CARCINOMA IN SITU OF OTHER SPECIFIED SITES,4
D099,"CARCINOMA IN SITU, UNSPECIFIED","CARCINOMA IN SITU, UNSPECIFIED",4
D10,BENIGN NEOPLASM OF MOUTH AND PHARYNX,BENIGN NEOPLASM OF MOUTH AND PHARYNX,3
D100,"BENIGN NEOPLASM, LIP","BENIGN NEOPLASM, LIP",4
D101,"BENIGN NEOPLASM, TONGUE","BENIGN NEOPLASM, TONGUE",4
D102,"BENIGN NEOPLASM, FLOOR OF MOUTH","BENIGN NEOPLASM, FLOOR OF MOUTH",4
D103,"BENIGN NEOPLASM, OTHER AND UNSPECIFIED PARTS OF MOUTH","BENIGN NEOPLASM, OTHER AND UNSPECIFIED PARTS OF MOUTH",4
D104,"BENIGN NEOPLASM, TONSIL","BENIGN NEOPLASM, TONSIL",4
D105,"BENIGN NEOPLASM, OTHER PARTS OF OROPHARYNX","BENIGN NEOPLASM, OTHER PARTS OF OROPHARYNX",4
D106,"BENIGN NEOPLASM, NASOPHARYNX","BENIGN NEOPLASM, NASOPHARYNX",4
D107,"BENIGN NEOPLASM, HYPOPHARYNX","BENIGN NEOPLASM, HYPOPHARYNX",4
D109,"BENIGN NEOPLASM, PHARYNX, UNSPECIFIED","BENIGN NEOPLASM, PHARYNX, UNSPECIFIED",4
D11,BENIGN NEOPLASM OF MAJOR SALIVARY GLANDS,BENIGN NEOPLASM OF MAJOR SALIVARY GLANDS,3
D110,"BENIGN NEOPLASM, PAROTID GLAND","BENIGN NEOPLASM, PAROTID GLAND",4
D117,"BENIGN NEOPLASM, OTHER MAJOR SALIVARY GLANDS","BENIGN NEOPLASM, OTHER MAJOR SALIVARY GLANDS",4
D119,"BENIGN NEOPLASM, MAJOR SALIVARY GLAND, UNSPECIFIED","BENIGN NEOPLASM, MAJOR SALIVARY GLAND, UNSPECIFIED",4
D12,"BENIGN NEOPLASM OF COLON, RECTUM, ANUS AND ANAL CANAL","BENIGN NEOPLASM OF COLON, RECTUM, ANUS AND ANAL CANAL",3
D120,"BENIGN NEOPLASM, CAECUM","BENIGN NEOPLASM, CAECUM",4
D121,"BENIGN NEOPLASM, APPENDIX","BENIGN NEOPLASM, APPENDIX",4
D122,"BENIGN NEOPLASM, ASCENDING COLON","BENIGN NEOPLASM, ASCENDING COLON",4
D123,"BENIGN NEOPLASM, TRANSVERSE COLON","BENIGN NEOPLASM, TRANSVERSE COLON",4
D124,"BENIGN NEOPLASM, DESCENDING COLON","BENIGN NEOPLASM, DESCENDING COLON",4
D125,"BENIGN NEOPLASM, SIGMOID COLON","BENIGN NEOPLASM, SIGMOID COLON",4
D126,"BENIGN NEOPLASM, COLON, UNSPECIFIED","BENIGN NEOPLASM, COLON, UNSPECIFIED",4
D127,"BENIGN NEOPLASM, RECTOSIGMOID JUNCTION","BENIGN NEOPLASM, RECTOSIGMOID JUNCTION",4
D128,"BENIGN NEOPLASM, RECTUM","BENIGN NEOPLASM, RECTUM",4
D129,"BENIGN NEOPLASM, ANUS AND ANAL CANAL","BENIGN NEOPLASM, ANUS AND ANAL CANAL",4
D13,BENIGN NEOPLASM OF OTHER AND ILL-DEFINED PARTS OF DIGESTIVE SYSTEM,BENIGN NEOPLASM OF OTHER AND ILL-DEFINED PARTS OF DIGESTIVE SYSTEM,3
D130,"BENIGN NEOPLASM, OESOPHAGUS","BENIGN NEOPLASM, OESOPHAGUS",4
D131,"BENIGN NEOPLASM, STOMACH","BENIGN NEOPLASM, STOMACH",4
D132,"BENIGN NEOPLASM, DUODENUM","BENIGN NEOPLASM, DUODENUM",4
D133,"BENIGN NEOPLASM, OTHER AND UNSPECIFIED PARTS OF SMALL INTESTINE","BENIGN NEOPLASM, OTHER AND UNSPECIFIED PARTS OF SMALL INTESTINE",4
D134,"BENIGN NEOPLASM, LIVER","BENIGN NEOPLASM, LIVER",4
D135,"BENIGN NEOPLASM, EXTRAHEPATIC BILE DUCTS","BENIGN NEOPLASM, EXTRAHEPATIC BILE DUCTS",4
D136,"BENIGN NEOPLASM, PANCREAS","BENIGN NEOPLASM, PANCREAS",4
D137,"BENIGN NEOPLASM, ENDOCRINE PANCREAS","BENIGN NEOPLASM, ENDOCRINE PANCREAS",4
D139,"BENIGN NEOPLASM, ILL-DEFINED SITES WITHIN THE DIGESTIVE SYSTEM","BENIGN NEOPLASM, ILL-DEFINED SITES WITHIN THE DIGESTIVE SYSTEM",4
D14,BENIGN NEOPLASM OF MIDDLE EAR AND RESPIRATORY SYSTEM,BENIGN NEOPLASM OF MIDDLE EAR AND RESPIRATORY SYSTEM,3
D140,"BENIGN NEOPLASM, MIDDLE EAR, NASAL CAVITY AND ACCESSORY SINUSES","BENIGN NEOPLASM, MIDDLE EAR, NASAL CAVITY AND ACCESSORY SINUSES",4
D141,"BENIGN NEOPLASM, LARYNX","BENIGN NEOPLASM, LARYNX",4
D142,"BENIGN NEOPLASM, TRACHEA","BENIGN NEOPLASM, TRACHEA",4
D143,"BENIGN NEOPLASM, BRONCHUS AND LUNG","BENIGN NEOPLASM, BRONCHUS AND LUNG",4
D144,"BENIGN NEOPLASM, RESPIRATORY SYSTEM, UNSPECIFIED","BENIGN NEOPLASM, RESPIRATORY SYSTEM, UNSPECIFIED",4
D15,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,BENIGN NEOPLASM OF OTHER AND UNSPECIFIED INTRATHORACIC ORGANS,3
D150,"BENIGN NEOPLASM, THYMUS","BENIGN NEOPLASM, THYMUS",4
D151,"BENIGN NEOPLASM, HEART","BENIGN NEOPLASM, HEART",4
D152,"BENIGN NEOPLASM, MEDIASTINUM","BENIGN NEOPLASM, MEDIASTINUM",4
D157,"BENIGN NEOPLASM, OTHER SPECIFIED INTRATHORACIC ORGANS","BENIGN NEOPLASM, OTHER SPECIFIED INTRATHORACIC ORGANS",4
D159,"BENIGN NEOPLASM, INTRATHORACIC ORGAN, UNSPECIFIED","BENIGN NEOPLASM, INTRATHORACIC ORGAN, UNSPECIFIED",4
D16,BENIGN NEOPLASM OF BONE AND ARTICULAR CARTILAGE,BENIGN NEOPLASM OF BONE AND ARTICULAR CARTILAGE,3
D160,"BENIGN NEOPLASM, SCAPULA AND LONG BONES OF UPPER LIMB","BENIGN NEOPLASM, SCAPULA AND LONG BONES OF UPPER LIMB",4
D161,"BENIGN NEOPLASM, SHORT BONES OF UPPER LIMB","BENIGN NEOPLASM, SHORT BONES OF UPPER LIMB",4
D162,"BENIGN NEOPLASM, LONG BONES OF LOWER LIMB","BENIGN NEOPLASM, LONG BONES OF LOWER LIMB",4
D163,"BENIGN NEOPLASM, SHORT BONES OF LOWER LIMB","BENIGN NEOPLASM, SHORT BONES OF LOWER LIMB",4
D164,"BENIGN NEOPLASM, BONES OF SKULL AND FACE","BENIGN NEOPLASM, BONES OF SKULL AND FACE",4
D165,"BENIGN NEOPLASM, LOWER JAW BONE","BENIGN NEOPLASM, LOWER JAW BONE",4
D166,"BENIGN NEOPLASM, VERTEBRAL COLUMN","BENIGN NEOPLASM, VERTEBRAL COLUMN",4
D167,"BENIGN NEOPLASM, RIBS, STERNUM AND CLAVICLE","BENIGN NEOPLASM, RIBS, STERNUM AND CLAVICLE",4
D168,"BENIGN NEOPLASM, PELVIC BONES, SACRUM AND COCCYX","BENIGN NEOPLASM, PELVIC BONES, SACRUM AND COCCYX",4
D169,"BENIGN NEOPLASM, BONE AND ARTICULAR CARTILAGE, UNSPECIFIED","BENIGN NEOPLASM, BONE AND ARTICULAR CARTILAGE, UNSPECIFIED",4
D17,BENIGN LIPOMATOUS NEOPLASM,BENIGN LIPOMATOUS NEOPLASM,3
D170,BENIGN LIPOMATOUS NEOPLASM OF SKIN/SUBCUTANEOUS TISSUE OF HEAD/FACE/NECK,BENIGN LIPOMATOUS NEOPLASM OF SKIN/SUBCUTANEOUS TISSUE OF HEAD/FACE/NECK,4
D171,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF,4
D172,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF LIMBS,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS TISSUE OF LIMBS,4
D173,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS,BENIGN LIPOMATOUS NEOPLASM OF SKIN AND SUBCUTANEOUS,4
D174,BENIGN LIPOMATOUS NEOPLASM OF INTRATHORACIC ORGANS,BENIGN LIPOMATOUS NEOPLASM OF INTRATHORACIC ORGANS,4
D175,BENIGN LIPOMATOUS NEOPLASM OF INTRA-ABDOMINAL ORGANS,BENIGN LIPOMATOUS NEOPLASM OF INTRA-ABDOMINAL ORGANS,4
D176,BENIGN LIPOMATOUS NEOPLASM OF SPERMATIC CORD,BENIGN LIPOMATOUS NEOPLASM OF SPERMATIC CORD,4
D177,BENIGN LIPOMATOUS NEOPLASM OF OTHER SITES,BENIGN LIPOMATOUS NEOPLASM OF OTHER SITES,4
D179,"BENIGN LIPOMATOUS NEOPLASM, UNSPECIFIED","BENIGN LIPOMATOUS NEOPLASM, UNSPECIFIED",4
D18,"HAEMANGIOMA AND LYMPHANGIOMA, ANY SITE","HAEMANGIOMA AND LYMPHANGIOMA, ANY SITE",3
D180,"HAEMANGIOMA, ANY SITE","HAEMANGIOMA, ANY SITE",4
D181,"LYMPHANGIOMA, ANY SITE","LYMPHANGIOMA, ANY SITE",4
D19,BENIGN NEOPLASM OF MESOTHELIAL TISSUE,BENIGN NEOPLASM OF MESOTHELIAL TISSUE,3
D190,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF PLEURA,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF PLEURA,4
D191,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF PERITONEUM,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF PERITONEUM,4
D197,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF OTHER SITES,BENIGN NEOPLASM OF MESOTHELIAL TISSUE OF OTHER SITES,4
D199,"BENIGN NEOPLASM OF MESOTHELIAL TISSUE, UNSPECIFIED","BENIGN NEOPLASM OF MESOTHELIAL TISSUE, UNSPECIFIED",4
D20,BENIGN NEOPLASM OF SOFT TISSUE OF RETROPERITONEUM AND PERITONEUM,BENIGN NEOPLASM OF SOFT TISSUE OF RETROPERITONEUM AND PERITONEUM,3
D200,BENIGN NEOPLASM OF RETROPERITONEUM,BENIGN NEOPLASM OF RETROPERITONEUM,4
D201,BENIGN NEOPLASM OF PERITONEUM,BENIGN NEOPLASM OF PERITONEUM,4
D21,OTHER BENIGN NEOPLASMS OF CONNECTIVE AND OTHER SOFT TISSUE,OTHER BENIGN NEOPLASMS OF CONNECTIVE AND OTHER SOFT TISSUE,3
D210,"BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF HEAD, FACE AND NECK","BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF HEAD, FACE AND NECK",4
D211,"BENIGN NEO OF CONNECTIVE/OTHER SOFT TISSUE OF UPPER LIMB, INCL SHOULDER","BENIGN NEO OF CONNECTIVE/OTHER SOFT TISSUE OF UPPER LIMB, INCL SHOULDER",4
D212,"BENIGN NEO OF CONNECTIVE/OTHER SOFT TISSUE OF LOWER LIMB, INCLUDING HIP","BENIGN NEO OF CONNECTIVE/OTHER SOFT TISSUE OF LOWER LIMB, INCLUDING HIP",4
D213,BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF THORAX,BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF THORAX,4
D214,BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF ABDOMEN,BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF ABDOMEN,4
D215,BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF PELVIS,BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF PELVIS,4
D216,"BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF TRUNK, UNSPECIFIED","BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE OF TRUNK, UNSPECIFIED",4
D219,"BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE, UNSPECIFIED","BENIGN NEOPLASM OF CONNECTIVE AND OTHER SOFT TISSUE, UNSPECIFIED",4
D22,MELANOCYTIC NAEVI,MELANOCYTIC NAEVI,3
D220,MELANOCYTIC NAEVI OF LIP,MELANOCYTIC NAEVI OF LIP,4
D221,"MELANOCYTIC NAEVI OF EYELID, INCLUDING CANTHUS","MELANOCYTIC NAEVI OF EYELID, INCLUDING CANTHUS",4
D222,MELANOCYTIC NAEVI OF EAR AND EXTERNAL AURICULAR CANAL,MELANOCYTIC NAEVI OF EAR AND EXTERNAL AURICULAR CANAL,4
D223,MELANOCYTIC NAEVI OF OTHER AND UNSPECIFIED PARTS OF FACE,MELANOCYTIC NAEVI OF OTHER AND UNSPECIFIED PARTS OF FACE,4
D224,MELANOCYTIC NAEVI OF SCALP AND NECK,MELANOCYTIC NAEVI OF SCALP AND NECK,4
D225,MELANOCYTIC NAEVI OF TRUNK,MELANOCYTIC NAEVI OF TRUNK,4
D226,"MELANOCYTIC NAEVI OF UPPER LIMB, INCLUDING SHOULDER","MELANOCYTIC NAEVI OF UPPER LIMB, INCLUDING SHOULDER",4
D227,"MELANOCYTIC NAEVI OF LOWER LIMB, INCLUDING HIP","MELANOCYTIC NAEVI OF LOWER LIMB, INCLUDING HIP",4
D229,"MELANOCYTIC NAEVI, UNSPECIFIED","MELANOCYTIC NAEVI, UNSPECIFIED",4
D23,OTHER BENIGN NEOPLASMS OF SKIN,OTHER BENIGN NEOPLASMS OF SKIN,3
D230,"BENIGN NEOPLASM, SKIN OF LIP","BENIGN NEOPLASM, SKIN OF LIP",4
D231,"BENIGN NEOPLASM, SKIN OF EYELID, INCLUDING CANTHUS","BENIGN NEOPLASM, SKIN OF EYELID, INCLUDING CANTHUS",4
D232,"BENIGN NEOPLASM, SKIN OF EAR AND EXTERNAL AURICULAR CANAL","BENIGN NEOPLASM, SKIN OF EAR AND EXTERNAL AURICULAR CANAL",4
D233,"BENIGN NEOPLASM, SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE","BENIGN NEOPLASM, SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE",4
D234,"BENIGN NEOPLASM, SKIN OF SCALP AND NECK","BENIGN NEOPLASM, SKIN OF SCALP AND NECK",4
D235,"BENIGN NEOPLASM, SKIN OF TRUNK","BENIGN NEOPLASM, SKIN OF TRUNK",4
D236,"BENIGN NEOPLASM, SKIN OF UPPER LIMB, INCLUDING SHOULDER","BENIGN NEOPLASM, SKIN OF UPPER LIMB, INCLUDING SHOULDER",4
D237,"BENIGN NEOPLASM, SKIN OF LOWER LIMB, INCLUDING HIP","BENIGN NEOPLASM, SKIN OF LOWER LIMB, INCLUDING HIP",4
D239,"BENIGN NEOPLASM, SKIN, UNSPECIFIED","BENIGN NEOPLASM, SKIN, UNSPECIFIED",4
D24,BENIGN NEOPLASM OF BREAST,BENIGN NEOPLASM OF BREAST,3
D24X,BENIGN NEOPLASM OF BREAST,BENIGN NEOPLASM OF BREAST,4
D25,LEIOMYOMA OF UTERUS,LEIOMYOMA OF UTERUS,3
D250,SUBMUCOUS LEIOMYOMA OF UTERUS,SUBMUCOUS LEIOMYOMA OF UTERUS,4
D251,INTRAMURAL LEIOMYOMA OF UTERUS,INTRAMURAL LEIOMYOMA OF UTERUS,4
D252,SUBSEROSAL LEIOMYOMA OF UTERUS,SUBSEROSAL LEIOMYOMA OF UTERUS,4
D259,"LEIOMYOMA OF UTERUS, UNSPECIFIED","LEIOMYOMA OF UTERUS, UNSPECIFIED",4
D26,OTHER BENIGN NEOPLASMS OF UTERUS,OTHER BENIGN NEOPLASMS OF UTERUS,3
D260,"BENIGN NEOPLASM, CERVIX UTERI","BENIGN NEOPLASM, CERVIX UTERI",4
D261,"BENIGN NEOPLASM, CORPUS UTERI","BENIGN NEOPLASM, CORPUS UTERI",4
